"apt_nm","sgg_cd","umd_cd","land_cd","bonbun","bubun","road_nm","road_nm_sgg_cd","road_nm_cd","road_nm_seq","road_nmb_cd","road_nm_bonbun","road_nm_bubun","umd_nm","jibun","exclu_use_ar","deal_year","deal_month","deal_day","deal_amount","floor","build_year","apt_seq","cdeal_type","cdeal_day","dealing_gbn","estate_agent_sgg_nm","rgst_date","apt_dong","sler_gbn","buyer_gbn","land_leasehold_gbn"
동기포에버,"30170","10200","1","0059","0001",도마로57번길,"30170","4298222","01","0","00042","00000",,"59-1","84.9458","2024","11","22","23,200","8","2010","30170-1037", , ,중개거래,대전 서구, , ,,개인,N
황실타운,"30170","11300","1","0302","0000",청사로,"30170","3166051","02","0","00065","00000",,"302","65.76","2024","11","14","35,750","15","1994","30170-105", , ,중개거래,대전 서구,"24.12.18","119",,개인,N
복수센트럴자이,"30170","10100","1","1004","0000",복수서로,"30170","3166035","01","0","00015","00000",,"1004","84.9986","2024","11","6","52,000","21","2019","30170-1174",O,"24.12.24",중개거래,대전 서구, , ,,개인,N
한마루아파트,"30170","11200","1","1388","0000",둔산북로,"30170","3166020","01","0","00160","00000",,"1388","76.22","2024","11","15","65,000","7","1992","30170-87",O,"25.01.11",중개거래,대전 서구, , ,,개인,N
국화우성,"30170","11200","1","1809","0000",둔산로,"30170","3166019","01","0","00201","00000",,"1809","114.85","2024","11","22","74,200","9","1992","30170-47", , ,중개거래,대전 서구, , ,,개인,N
관저리슈빌,"30170","11600","1","1420","0000",관저동로90번길,"30170","4298100","01","0","00015","00000",,"1420","99.0655","2024","11","16","45,000","1","2005","30170-1009", , ,중개거래,대전 서구, , ,,개인,N
목련,"30170","11200","1","1510","0000",둔산남로,"30170","3166018","02","0","00127","00000",,"1510","117.76","2024","11","2","123,000","7","1993","30170-80", , ,중개거래,"대전 서구, 대전 중구", , ,,개인,N
복수센트럴자이,"30170","10100","1","1004","0000",복수서로,"30170","3166035","01","0","00015","00000",,"1004","45.204","2024","11","22","28,200","25","2019","30170-1174", , ,중개거래,대전 서구, , ,,개인,N
황실타운,"30170","11300","1","0302","0000",청사로,"30170","3166051","02","0","00065","00000",,"302","84.93","2024","11","9","37,400","15","1994","30170-105", , ,중개거래,대전 서구, , ,,개인,N
늘푸른,"30170","10400","1","0641","0001",정림로,"30170","3166049","01","0","00011","00000",,"641-1","59.976","2024","11","24","18,000","8","1996","30170-27", , ,직거래, , , ,,개인,N
한우리,"30170","10600","1","0765","0000",문정로90번길,"30170","4298370","01","0","00060","00000",,"765","84.72","2024","11","10","42,500","5","1994","30170-42", , ,중개거래,대전 서구,"24.11.29","106",,개인,N
위즈,"30170","10600","1","0779","0000",계룡로583번길,"30170","4298079","01","0","00055","00000",,"779","71.58","2024","11","9","25,500","5","2005","30170-190", , ,중개거래,대전 서구, , ,,개인,N
삼정하이츠(38),"30170","10300","1","0038","0000",도마로37번길,"30170","4298219","01","0","00014","00000",,"38","73.2","2024","11","25","13,400","5","1986","30170-14", , ,중개거래,대전 서구,"24.12.30","3",,개인,N
초록마을1단지(예미지),"30170","10100","1","0611","0000",복수동로,"30170","3166033","01","0","00021","00019",,"611","101.4315","2024","11","7","39,800","19","2005","30170-1006", , ,중개거래,대전 서구, , ,,개인,N
우성,"30170","10400","1","0584","0000",정림서로,"30170","3166050","01",,"00162","00015",,"584","84.935","2024","11","16","25,000","3","1993","30170-25", , ,중개거래,대전 서구, , ,,개인,N
구봉마을주공8-1,"30170","11600","1","1148","0000",관저로,"30170","3166008","01","0","00084","00000",,"1148","59.47","2024","11","25","18,500","22","1999","30170-113", , ,중개거래,대전 서구,"24.11.27","814",,개인,N
신선마을,"30170","11600","1","1130","0000",관저로,"30170","3166008","01","0","00083","00000",,"1130","134.9","2024","11","25","32,000","13","2000","30170-115", , ,직거래, ,"24.11.26","211",,개인,N
초록마을1단지(예미지),"30170","10100","1","0611","0000",복수동로,"30170","3166033","01","0","00021","00019",,"611","100.9426","2024","11","3","40,300","7","2005","30170-1006", , ,중개거래,대전 서구, , ,,개인,N
시티빌3차,"30170","10600","1","0638","0000",문정로2번길,"30170","4298365","01","0","00051","00000",,"638","36.51","2024","11","8","9,700","11","2005","30170-1008", , ,중개거래,대전 서구, , ,,개인,N
경남4차,"30170","10300","1","0193","0000",배재로,"30170","3166028","02","0","00155","00026",,"193","72.535","2024","11","23","19,000","4","1990","30170-6", , ,중개거래,대전 서구, , ,,개인,N
우성,"30170","10400","1","0584","0000",정림서로,"30170","3166050","01",,"00162","00015",,"584","84.935","2024","11","5","28,700","6","1993","30170-25",O,"24.12.09",중개거래,대전 서구, , ,,개인,N
디안더블레스,"30170","11100","1","0339","0003",갈마로,"30170","3166004","00","0","00039","00000",,"339-3","20.2626","2024","11","23","8,500","13","2020","30170-1172", , ,중개거래,대전 서구,"24.11.26", ,,개인,N
에코리움,"30170","11300","1","1638","0000",계룡로264번길,"30170","4298047","00",,"00028","00038",,"1638","48.0623","2024","11","25","17,000","4","2020","30170-1173", , ,직거래, ,"24.11.25", ,,법인,N
복수센트럴자이,"30170","10100","1","1004","0000",복수서로,"30170","3166035","01","0","00015","00000",,"1004","59.984","2024","11","17","36,500","12","2019","30170-1174", , ,중개거래,대전 서구, , ,,개인,N
시티팰리스7차,"30170","11200","1","1263","0000",둔산서로,"30170","3166021","00","0","00033","00000",,"1263","23.7766","2024","11","24","9,750","7","2017","30170-1141", , ,중개거래,대전 서구,"24.12.09", ,,개인,N
현대아이파크,"30170","11500","1","1362","0000",도안동로,"30170","3166054","02","0","00183","00000",,"1362","84.92","2024","11","16","56,500","20","2013","30170-1091", , ,중개거래,대전 서구, , ,,개인,N
영진햇님,"30170","11200","1","1383","0000",둔산북로,"30170","3166020","01","0","00175","00000",,"1383","93.105","2024","11","3","76,000","6","1993","30170-82", , ,중개거래,대전 서구, , ,,개인,N
구봉마을주공7,"30170","11600","1","1144","0000",관저로,"30170","3166008","01","0","00048","00000",,"1144","59.72","2024","11","25","19,500","13","1999","30170-112", , ,중개거래,대전 서구, , ,,개인,N
한마루아파트,"30170","11200","1","1388","0000",둔산북로,"30170","3166020","01","0","00160","00000",,"1388","101.94","2024","11","18","80,000","11","1992","30170-87", , ,직거래, ,"24.11.25","6",,개인,N
샘머리2차,"30170","11200","1","0908","0000",청사로,"30170","3166051","01","0","00281","00000",,"908","84.945","2024","11","23","44,000","11","1998","30170-168", , ,중개거래,대전 서구, , ,,개인,N
맑은아침,"30170","11000","1","0002","0000",갈마로,"30170","3166004","03","0","00262","00000",,"2","77.6069","2024","11","23","37,500","24","2004","30170-151", , ,중개거래,"대전 서구, 세종", , ,,개인,N
갤러리빌,"30170","11200","1","1141","0000",계룡로491번길,"30170","4298068","01","0","00008","00000",,"1141","35.335","2024","11","22","9,300","11","2004","30170-162", , ,중개거래,대전 서구,"24.12.23",갤러리빌 4차,,개인,N
